element_name,locate_by,locate_value
username_field,id,username
password_field,id,password
login_button,id,loginbtn
quiz_name_field,id,id_name
timing_tab,id,collapseElement-1
timeopen_enable,id,id_timeopen_enabled
timeopen_day,id,id_timeopen_day
timeopen_month,id,id_timeopen_month
timeopen_year,id,id_timeopen_year
timeopen_hour,id,id_timeopen_hour
timeopen_minute,id,id_timeopen_minute
timeclose_enable,id,id_timeclose_enabled
timeclose_day,id,id_timeclose_day
timeclose_month,id,id_timeclose_month
timeclose_year,id,id_timeclose_year
timeclose_hour,id,id_timeclose_hour
timeclose_minute,id,id_timeclose_minute
timelimit_enable,id,id_timelimit_enabled
timelimit_field,id,id_timelimit_number
grade_tab,id,collapseElement-2
gradepass_field,id,id_gradepass
save_button,id,id_submitbutton
header_title,xpath,//h1
cookie_button,id,onetrust-accept-btn-handler
